['Erie Railbender Ale', '12oz Btl', '2.79', '10.99', '43.96']
['Evolution Exile ESB', '12oz Btl', '1.99', '8.99', '35.96']
['Evolution Lucky 7 Porter', '12oz Btl', '1.99', '8.99', '35.96']
['Evolution Primal Pale Ale', '12oz Btl', '1.99', '8.99', '35.96']
['Firestone Walker Double Jack', '22oz Btl', '7.99', '', '']
['Firestone Walker Reserve Porter', '22oz Btl', '5.99', '', '']
['Fish Tale Organic Amber Ale', '12oz Btl', '1.99', '7.99', '31.96']
['Fish Tale Organic India Pale Ale', '12oz Btl', '1.99', '7.99', '31.96']
['Flying Dog Doggy Style Pale Ale (12pk-12.99)', '12oz Btl', '1.49', '7.49', '25.98']
['Flying Dog DOGtoberfest', '12oz Btl', '', 'Seasonal', '']
['Flying Dog Double Dog Pale Ale', '12oz Btl', '2.49', '7.99-4pk', '47.94']
['Flying Dog Garde Dog', '12oz Btl', '1.49', '7.99', '31.96']
['Flying Dog Gonzo Imperial Porter', '12oz Btl', '2.49', '7.99-4pk', '47.94']
['Flying Dog Horn Dog Barley Wine', '12oz Btl', '2.49', '7.99-4pk', '47.94']
['Flying Dog In Heat Wheat', '12oz Btl', '1.49', '7.49', '29.96']
['Flying Dog K-9 Cruiser', '12oz Btl', '1.49', '7.49', '29.96']
['Flying Dog Old Scratch Amber Lager', '12oz Btl', '1.49', '6.99', '27.96']
['Flying Dog Raging Bitch', '12oz Btl', '1.49', '7.49', '29.96']
['Flying Dog Road Dog Porter', '12oz Btl', '1.49', '7.49', '29.96']
['Flying Dog Sampler Pack', '12oz Btl', '', '11.99', '23.98']
['Flying Dog Snake Dog IPA', '12oz Btl', '1.49', '7.49', '29.96']
['Flying Dog The Fear Imprl Pumpkin', '12oz Btl', '1.99', '10.99', '43.96']
['Flying Dog Tire Bite Golden Ale', '12oz Btl', '1.49', '7.49', '29.96']
['Flying Dog Wild Dog Schwarz', '750ml Btl', '17.99', '', '']
['Flying Dog Wild Dog Secret Stash', '12oz Btl', '1.99', '10.99', '43.96']
['Flying Dog Woody Creek White', '12oz Btl', '1.49', '8.49', '33.96']
['Flying Fish Belgian Style Dubbel', '12oz Btl', '2.29', '8.99', '35.96']
['Flying Fish Exit 4', '12oz Btl', '2.99', '11.99', '47.96']
['Flying Fish Exit 9', '750ml Btl', '8.99', '', '']
['Flying Fish Farmhouse Summer Ale', '12oz Btl', '', 'Seasonal', '']
['Flying Fish HopFish IPA', '12oz Btl', '2.29', '8.99', '35.96']
['Flying Fish OktoberFish', '12oz Btl', '', 'Seasonal', '']
['Fordham Copperhead Ale (12pk-14.99)', '12oz Btl', '1.49', '7.99', '29.98']
['Fordham Helles Lager (12pk-14.99)', '12oz Btl', '1.49', '7.99', '29.98']
['Fordham Scotch Ale', '12oz Btl', '1.49', '7.49', '29.96']
['Fordham Tavern Ale', '12oz Btl', '1.79', '7.99', '31.96']
['Fordham Wisteria Wheat', '12oz Btl', '1.49', '8.49', '33.96']
['Full Sail Amber', '12oz Btl', '1.49', '7.99', '31.96']
['Full Sail IPA', '12oz Btl', '1.49', '7.99', '31.96']
['Full Sail Old Boardhead Barleywine', '22oz Btl', '4.99', '', '']
['Full Sail Session Black Lager', '11oz Btl', '1.29', '13.99', '27.98']
['Geary\xa1\xa6s Pale Ale', '12oz Btl', '1.99', '8.99', '35.96']
['Goose Island Demolition', '22oz Btl', '5.99', '', '']
['Goose Island Harvest Ale', '12oz Btl', '', '8.49', '33.96']
['Goose Island Honkers Ale', '12oz Btl', '1.49', '8.49', '33.96']
['Goose Island IPA', '12oz Btl', '1.49', '8.49', '33.96']
['Goose Island Matilda', '22oz Btl', '7.99', '', '']
['Goose Island Pere Jacques', '22oz Btl', '7.99', '', '']
['Gordon Biersch Blonde Bock', '12oz Btl', '1.99', '8.49', '33.96']
['Gordon Biersch Czech Style Pilsner', '12oz Btl', '1.99', '8.49', '33.96']
['Gordon Biersch Festbier', '12oz Btl', '', 'Seasonal', '']
['Gordon Biersch Marzen', '12oz Btl', '1.99', '8.49', '33.96']
['Great Divide Belgian Style Yeti', '22oz Btl', '10.99', '', '']
['Great Divide Brewer\xa1\xa6s Picks', '12oz Btl', '', '19.49', '38.98']
['Great Divide Denver Pale Ale', '12oz Btl', '1.79', '9.49', '37.96']
